Date,Description,Amount,Balance
3/05/2019 11:06AM,Dewick Reg 1-Regular,-1,61
3/04/2019 08:03PM,Hodgdon Reg 3 - Board,-1,62
2/26/2019 07:23PM,Dewick Reg 1 - Board,-1,63
2/26/2019 11:36AM,Hodgdon Reg 3 - Board,-1,64
2/25/2019 08:26PM,Hodgdon Reg 2 - Board,-1,65
2/25/2019 10:14AM,Dewick Reg 1 - Board,-1,66
2/21/2019 11:49AM,Dewick Reg 1 - Board,-1,67
2/20/2019 06:14PM,Dewick Reg 1 - Board,-1,68
2/19/2019 08:11PM,Hodgdon Reg 2 - Board,-1,69
2/19/2019 11:21AM,Dewick Reg 1 - Board,-1,70
2/17/2019 06:24PM,Carmichael Reg 1 - Board,-1,71
2/13/2019 06:10PM,Carmichael Reg 1 - Board,-1,72
2/13/2019 10:54AM,Dewick Reg 1 - Board,-1,73
2/12/2019 11:40AM,Hodgdon Reg 2 - Board,-1,74
2/10/2019 07:05PM,Carmichael Reg 2 - Board,-1,75
2/08/2019 07:20AM,Carmichael Reg 2 - Board,-1,76
2/06/2019 06:18PM,Carmichael Reg 1 - Board,-1,77
2/05/2019 10:55AM,Carmichael Reg 1 - Board,-1,78
2/04/2019 05:14PM,Carmichael Reg 2 - Board,-1,79
2/03/2019 10:59AM,Carmichael Reg 1 - Board,-1,80
1/31/2019 11:57AM,Dewick Reg 1 - Board,-1,81
1/30/2019 06:04PM,Carmichael Reg 2 - Board,-1,82
1/30/2019 09:32AM,Dewick Reg 1 - Board,-1,83
1/29/2019 07:39PM,Hodgdon Reg 3 - Board,-1,84
1/29/2019 11:01AM,Carmichael Reg 2 - Board,-1,85
1/28/2019 05:08PM,Carmichael Reg 2 - Board,-1,86
1/28/2019 12:05PM,Dewick Reg 1 - Board,-1,87
1/27/2019 06:10PM,Carmichael Reg 2 - Board,-1,88
1/23/2019 05:56PM,Carmichael Reg 1 - Board,-1,89
1/23/2019 12:39PM,Dewick Reg 1 - Board,-1,90
1/22/2019 01:48PM,Hodgdon Reg 3 - Board,-1,91
1/21/2019 12:04PM,Carmichael Reg 2 - Board,-1,92
1/19/2019 11:31AM,Carmichael Reg 2 - Board,-1,93
1/18/2019 05:24PM,Dewick Reg 1 - Board,-1,94
1/18/2019 02:15PM,Posting OPRMDIN-108 - Board,-1,97
1/18/2019 02:15PM,Posting OPRMDIN-108 - Board,-1,96
1/18/2019 02:15PM,Posting OPRMDIN-108 - Board,-1,95
1/18/2019 02:15PM,Posting OPRMDIN-108 - Board,-1,98
1/17/2019 07:27PM,Carmichael Reg 2 - Board,-1,99
1/16/2019 06:51PM,Carmichael Reg 2 - Board,-1,96
1/16/2019 12:09PM,Pax et Lox Reg1 - Board,-1,97
1/15/2019 06:24PM,Carmichael Reg 1 - Board,-1,98
1/15/2019 09:11AM,Dewick Reg 1 - Board,-1,99
